,n,rps,log_loss,brier,ece,accuracy,rps_vs_mercado_%
market,12440.0,0.1956159780680977,0.9707368663696552,0.5768963436543172,0.006768754014832085,0.5396302250803858,-0.0
gradient_boosting,12440.0,0.2016474711220038,0.9918911555311939,0.59083820970519,0.009618638375797772,0.5227491961414791,3.0833335361830416
elo_logistico,12440.0,0.20194159087547667,0.9917620506021941,0.5909924418321513,0.011346443636307577,0.5236334405144695,3.2336892261310535
dixon_coles,12440.0,0.2026811265096217,0.9962513572304198,0.5923259553367279,0.008659985276568978,0.5217845659163988,3.6117440463194095
tasa_base,12440.0,0.23088714883572967,1.0747409427670884,0.6505467813105453,0.0021142113602148037,0.4309485530546624,18.03082300125474
uniforme,12440.0,0.23569578420864595,1.0986122886681096,0.6666666666666665,5.551115123125783e-17,0.4309485530546624,20.489024739377726
original_fugado,12440.0,0.2557875314377889,1.1935220651307423,0.7058935549664476,0.10410248663092755,0.4219453376205788,30.760040137797073
