,n,rps,log_loss,brier,ece,accuracy,rps_skill_%,logloss_skill_%
gradient_boosting,18812.0,0.20778303404367868,1.0151400589489292,0.607348253111877,0.005679306411212549,0.49808632787582396,9.337356182438317,5.644933571512145
elo_logistico,18812.0,0.2081837973170183,1.0154577991736007,0.6077229957596825,0.00987223120836791,0.4973421220497555,9.162489846150667,5.615400306873852
dixon_coles,18812.0,0.2102423352492079,1.0290622387645398,0.6124964135774901,0.014471382903530422,0.4947374016585158,8.26428132691317,4.35089715776702
tasa_base,18812.0,0.22918263277408457,1.0758723377279467,0.6511189877981025,0.0035253315018468935,0.43195832447374016,0.0,0.0
uniforme,18812.0,0.2343303328844473,1.0986122886681096,0.6666666666666667,5.551115123125783e-17,0.43195832447374016,-2.2461126517544727,-2.113629112184978
original_fugado,18812.0,0.26043501089396465,1.2189677412689797,0.7209498217658551,0.11441247719576975,0.4032532426110993,-13.636451305927233,-13.30040735532112
